Chapter,Group,Sub-group,Sub-group disaggregation,Topic,Topic disaggregation,Current/Trend,Year,Numerator,Denominator,Per cent
Overview and demographics,Maternal age,Maternal age,40,Indigenous status (mother),Indigenous,Current,2018,258,13754,1.9
Overview and demographics,Maternal age,Maternal age,40,Indigenous status (mother),Non-Indigenous,Current,2018,12791,284168,4.5
Overview and demographics,Maternal age,Maternal age,40,Indigenous status (mother),Not stated,Current,2018,43,708,6.1
Overview and demographics,Maternal age,Maternal age,0,Indigenous status (mother),Indigenous,Current,2018,0,13754,0
Overview and demographics,Maternal age,Maternal age,0,Indigenous status (mother),Non-Indigenous,Current,2018,18,284168,0
Overview and demographics,Maternal age,Maternal age,0,Indigenous status (mother),Not stated,Current,2018,0,708,0
Overview and demographics,Maternal age,Maternal age,20,Parity,None,Current,2018,5128,126605,4.1
Overview and demographics,Maternal age,Maternal age,20,Parity,One,Current,2018,785,104993,0.7
Overview and demographics,Maternal age,Maternal age,20,Parity,Two,Current,2018,86,42400,0.2
Overview and demographics,Maternal age,Maternal age,20,Parity,Three,Current,2018,9,14443,0.1
Overview and demographics,Maternal age,Maternal age,24,Parity,None,Current,2018,19133,126605,15.1
Overview and demographics,Maternal age,Maternal age,24,Parity,One,Current,2018,10431,104993,9.9
Overview and demographics,Maternal age,Maternal age,24,Parity,Two,Current,2018,3265,42400,7.7
Overview and demographics,Maternal age,Maternal age,24,Parity,Three,Current,2018,712,14443,4.9
Overview and demographics,Maternal age,Maternal age,24,Parity,Four or more,Current,2018,183,10066,1.8
Overview and demographics,Maternal age,Maternal age,24,Parity,Not stated,Current,2018,10,123,8.1
Overview and demographics,Maternal age,Maternal age,29,Parity,None,Current,2018,39258,126605,31
Overview and demographics,Maternal age,Maternal age,29,Parity,One,Current,2018,24723,104993,23.5
Overview and demographics,Maternal age,Maternal age,29,Parity,Two,Current,2018,9969,42400,23.5
Overview and demographics,Maternal age,Maternal age,29,Parity,Three,Current,2018,3425,14443,23.7
Overview and demographics,Maternal age,Maternal age,29,Parity,Four or more,Current,2018,1689,10066,16.8
Overview and demographics,Maternal age,Maternal age,29,Parity,Not stated,Current,2018,27,123,22
Overview and demographics,Maternal age,Maternal age,34,Parity,None,Current,2018,42615,126605,33.7
Overview and demographics,Maternal age,Maternal age,34,Parity,One,Current,2018,40884,104993,38.9
Overview and demographics,Maternal age,Maternal age,34,Parity,Two,Current,2018,15335,42400,36.2
Overview and demographics,Maternal age,Maternal age,34,Parity,Three,Current,2018,5151,14443,35.7
Overview and demographics,Maternal age,Maternal age,34,Parity,Four or more,Current,2018,3470,10066,34.5
Overview and demographics,Maternal age,Maternal age,34,Parity,Not stated,Current,2018,30,123,24.4
Overview and demographics,Maternal age,Maternal age,39,Parity,None,Current,2018,16794,126605,13.3
Overview and demographics,Maternal age,Maternal age,39,Parity,One,Current,2018,23721,104993,22.6
Overview and demographics,Maternal age,Maternal age,39,Parity,Two,Current,2018,11296,42400,26.6
Overview and demographics,Maternal age,Maternal age,39,Parity,Three,Current,2018,4014,14443,27.8
Overview and demographics,Maternal age,Maternal age,39,Parity,Four or more,Current,2018,3334,10066,33.1
Overview and demographics,Maternal age,Maternal age,39,Parity,Not stated,Current,2018,37,123,30.1
Overview and demographics,Maternal age,Maternal age,40,Parity,None,Current,2018,3673,126605,2.9
Overview and demographics,Maternal age,Maternal age,40,Parity,One,Current,2018,4441,104993,4.2
Overview and demographics,Maternal age,Maternal age,40,Parity,Two,Current,2018,2444,42400,5.8
Overview and demographics,Maternal age,Maternal age,40,Parity,Three,Current,2018,1131,14443,7.8
Overview and demographics,Maternal age,Maternal age,0,Parity,None,Current,2018,4,126605,0
Overview and demographics,Maternal age,Maternal age,0,Parity,One,Current,2018,8,104993,0
Overview and demographics,Maternal age,Maternal age,0,Parity,Two,Current,2018,5,42400,0
Overview and demographics,Maternal age,Maternal age,0,Parity,Three,Current,2018,1,14443,0
Overview and demographics,Maternal age,Maternal age,0,Parity,Four or more,Current,2018,0,10066,0
Overview and demographics,Maternal age,Maternal age,0,Parity,Not stated,Current,2018,0,123,0
Overview and demographics,Maternal age,Maternal age,20,State and territory of birth,NSW,Current,2018,1792,94163,1.9
Overview and demographics,Maternal age,Maternal age,20,State and territory of birth,Vic,Current,2018,953,77733,1.2
Overview and demographics,Maternal age,Maternal age,20,State and territory of birth,Qld,Current,2018,1779,59624,3
Overview and demographics,Maternal age,Maternal age,20,State and territory of birth,WA,Current,2018,656,32974,2
Overview and demographics,Maternal age,Maternal age,20,State and territory of birth,SA,Current,2018,366,19044,1.9
Overview and demographics,Maternal age,Maternal age,20,State and territory of birth,Tas,Current,2018,177,5436,3.3
Overview and demographics,Maternal age,Maternal age,20,State and territory of birth,ACT,Current,2018,68,5929,1.1
Overview and demographics,Maternal age,Maternal age,20,State and territory of birth,NT,Current,2018,223,3727,6
Overview and demographics,Maternal age,Maternal age,24,State and territory of birth,NSW,Current,2018,9971,94163,10.6
Overview and demographics,Maternal age,Maternal age,24,State and territory of birth,Vic,Current,2018,6791,77733,8.7
Overview and demographics,Maternal age,Maternal age,24,State and territory of birth,Qld,Current,2018,8866,59624,14.9
Overview and demographics,Maternal age,Maternal age,24,State and territory of birth,WA,Current,2018,3754,32974,11.4
Overview and demographics,Maternal age,Maternal age,24,State and territory of birth,SA,Current,2018,2332,19044,12.2
Overview and demographics,Maternal age,Maternal age,24,State and territory of birth,Tas,Current,2018,917,5436,16.9
Overview and demographics,Maternal age,Maternal age,24,State and territory of birth,ACT,Current,2018,481,5929,8.1
Overview and demographics,Maternal age,Maternal age,24,State and territory of birth,NT,Current,2018,622,3727,16.7
Overview and demographics,Maternal age,Maternal age,29,State and territory of birth,NSW,Current,2018,24580,94163,26.1
Overview and demographics,Maternal age,Maternal age,29,State and territory of birth,Vic,Current,2018,19334,77733,24.9
Overview and demographics,Maternal age,Maternal age,29,State and territory of birth,Qld,Current,2018,16957,59624,28.4
Overview and demographics,Maternal age,Maternal age,29,State and territory of birth,WA,Current,2018,8986,32974,27.3
Overview and demographics,Maternal age,Maternal age,29,State and territory of birth,SA,Current,2018,5215,19044,27.4
Overview and demographics,Maternal age,Maternal age,29,State and territory of birth,Tas,Current,2018,1572,5436,28.9
Overview and demographics,Maternal age,Maternal age,29,State and territory of birth,ACT,Current,2018,1453,5929,24.5
Overview and demographics,Maternal age,Maternal age,29,State and territory of birth,NT,Current,2018,994,3727,26.7
Overview and demographics,Maternal age,Maternal age,34,State and territory of birth,NSW,Current,2018,34126,94163,36.2
Overview and demographics,Maternal age,Maternal age,34,State and territory of birth,Vic,Current,2018,29942,77733,38.5
Overview and demographics,Maternal age,Maternal age,34,State and territory of birth,Qld,Current,2018,19275,59624,32.3
Overview and demographics,Maternal age,Maternal age,34,State and territory of birth,WA,Current,2018,12069,32974,36.6
Overview and demographics,Maternal age,Maternal age,34,State and territory of birth,SA,Current,2018,6849,19044,36
Overview and demographics,Maternal age,Maternal age,34,State and territory of birth,Tas,Current,2018,1725,5436,31.7
Overview and demographics,Maternal age,Maternal age,34,State and territory of birth,ACT,Current,2018,2328,5929,39.3
Overview and demographics,Maternal age,Maternal age,34,State and territory of birth,NT,Current,2018,1171,3727,31.4
Overview and demographics,Maternal age,Maternal age,39,State and territory of birth,NSW,Current,2018,19318,94163,20.5
Overview and demographics,Maternal age,Maternal age,39,State and territory of birth,Vic,Current,2018,16872,77733,21.7
Overview and demographics,Maternal age,Maternal age,39,State and territory of birth,Qld,Current,2018,10458,59624,17.5
Overview and demographics,Maternal age,Maternal age,39,State and territory of birth,WA,Current,2018,6228,32974,18.9
Overview and demographics,Maternal age,Maternal age,39,State and territory of birth,SA,Current,2018,3536,19044,18.6
Overview and demographics,Maternal age,Maternal age,39,State and territory of birth,Tas,Current,2018,868,5436,16
Overview and demographics,Maternal age,Maternal age,39,State and territory of birth,ACT,Current,2018,1313,5929,22.1
Overview and demographics,Maternal age,Maternal age,39,State and territory of birth,NT,Current,2018,603,3727,16.2
Overview and demographics,Maternal age,Maternal age,40,State and territory of birth,NSW,Current,2018,4360,94163,4.6
Overview and demographics,Maternal age,Maternal age,40,State and territory of birth,Vic,Current,2018,3839,77733,4.9
Overview and demographics,Maternal age,Maternal age,40,State and territory of birth,Qld,Current,2018,2289,59624,3.8
Overview and demographics,Maternal age,Maternal age,40,State and territory of birth,WA,Current,2018,1281,32974,3.9
Overview and demographics,Maternal age,Maternal age,40,State and territory of birth,SA,Current,2018,746,19044,3.9
Overview and demographics,Maternal age,Maternal age,40,State and territory of birth,Tas,Current,2018,177,5436,3.3
Overview and demographics,Maternal age,Maternal age,40,State and territory of birth,ACT,Current,2018,286,5929,4.8
Overview and demographics,Maternal age,Maternal age,40,State and territory of birth,NT,Current,2018,114,3727,3.1
Overview and demographics,Maternal age,Maternal age,0,State and territory of birth,NSW,Current,2018,16,94163,0
Overview and demographics,Maternal age,Maternal age,0,State and territory of birth,Vic,Current,2018,2,77733,0
Overview and demographics,Maternal age,Maternal age,0,State and territory of birth,Qld,Current,2018,0,59624,0
Overview and demographics,Maternal age,Maternal age,0,State and territory of birth,WA,Current,2018,0,32974,0
Overview and demographics,Maternal age,Maternal age,0,State and territory of birth,SA,Current,2018,0,19044,0
Overview and demographics,Maternal age,Maternal age,0,State and territory of birth,Tas,Current,2018,0,5436,0
Overview and demographics,Maternal age,Maternal age,0,State and territory of birth,ACT,Current,2018,0,5929,0
Overview and demographics,Maternal age,Maternal age,0,State and territory of birth,NT,Current,2018,0,3727,0
Overview and demographics,Maternal age,Maternal age,20,Patient election status,Public,Trend,2010,10632,188237,5.6
Overview and demographics,Maternal age,Maternal age,20,Patient election status,Private,Trend,2010,381,93089,0.4
Overview and demographics,Maternal age,Maternal age,20,Patient election status,Not stated,Trend,2010,83,4912,1.7
Overview and demographics,Maternal age,Maternal age,24,Patient election status,Public,Trend,2010,36607,188237,19.4
Overview and demographics,Maternal age,Maternal age,24,Patient election status,Private,Trend,2010,3351,93089,3.6
Overview and demographics,Maternal age,Maternal age,24,Patient election status,Not stated,Trend,2010,590,4912,12
Overview and demographics,Maternal age,Maternal age,29,Patient election status,Public,Trend,2010,57591,188237,30.6
Overview and demographics,Maternal age,Maternal age,29,Patient election status,Private,Trend,2010,19956,93089,21.4
Overview and demographics,Maternal age,Maternal age,29,Patient election status,Not stated,Trend,2010,1311,4912,26.7
Overview and demographics,Maternal age,Maternal age,34,Patient election status,Public,Trend,2010,49855,188237,26.5
Overview and demographics,Maternal age,Maternal age,34,Patient election status,Private,Trend,2010,38148,93089,41
Overview and demographics,Maternal age,Maternal age,34,Patient election status,Not stated,Trend,2010,1654,4912,33.7
Overview and demographics,Maternal age,Maternal age,39,Patient election status,Public,Trend,2010,27478,188237,14.6
Overview and demographics,Maternal age,Maternal age,39,Patient election status,Private,Trend,2010,25708,93089,27.6
Overview and demographics,Maternal age,Maternal age,39,Patient election status,Not stated,Trend,2010,1010,4912,20.6
Overview and demographics,Maternal age,Maternal age,40,Patient election status,Public,Trend,2010,6061,188237,3.2
Overview and demographics,Maternal age,Maternal age,40,Patient election status,Private,Trend,2010,5485,93089,5.9
Overview and demographics,Maternal age,Maternal age,40,Patient election status,Not stated,Trend,2010,263,4912,5.4
Overview and demographics,Maternal age,Maternal age,0,Patient election status,Public,Trend,2010,13,188237,0
Overview and demographics,Maternal age,Maternal age,0,Patient election status,Private,Trend,2010,60,93089,0.1
Overview and demographics,Maternal age,Maternal age,0,Patient election status,Not stated,Trend,2010,1,4912,0
Overview and demographics,Maternal age,Maternal age,20,Hospital sector,Public,Trend,2010,10626,200833,5.3
Overview and demographics,Maternal age,Maternal age,20,Hospital sector,Private,Trend,2010,470,85404,0.6
Overview and demographics,Maternal age,Maternal age,24,Hospital sector,Public,Trend,2010,37124,200833,18.5
Overview and demographics,Maternal age,Maternal age,24,Hospital sector,Private,Trend,2010,3423,85404,4
Overview and demographics,Maternal age,Maternal age,29,Hospital sector,Public,Trend,2010,60771,200833,30.3
Overview and demographics,Maternal age,Maternal age,29,Hospital sector,Private,Trend,2010,18087,85404,21.2
Overview and demographics,Maternal age,Maternal age,34,Hospital sector,Public,Trend,2010,54760,200833,27.3
Overview and demographics,Maternal age,Maternal age,34,Hospital sector,Private,Trend,2010,34897,85404,40.9
Overview and demographics,Maternal age,Maternal age,39,Hospital sector,Public,Trend,2010,30668,200833,15.3
Overview and demographics,Maternal age,Maternal age,39,Hospital sector,Private,Trend,2010,23528,85404,27.5
Overview and demographics,Maternal age,Maternal age,40,Hospital sector,Public,Trend,2010,6871,200833,3.4
Overview and demographics,Maternal age,Maternal age,40,Hospital sector,Private,Trend,2010,4938,85404,5.8
Overview and demographics,Maternal age,Maternal age,0,Hospital sector,Public,Trend,2010,13,200833,0
Overview and demographics,Maternal age,Maternal age,0,Hospital sector,Private,Trend,2010,61,85404,0.1
Overview and demographics,Maternal age,Maternal age,20,Indigenous status (mother),Indigenous,Trend,2010,2264,11488,19.7
Overview and demographics,Maternal age,Maternal age,20,Indigenous status (mother),Non-Indigenous,Trend,2010,9072,283172,3.2
Overview and demographics,Maternal age,Maternal age,20,Indigenous status (mother),Not stated,Trend,2010,34,795,4.3
Overview and demographics,Maternal age,Maternal age,24,Indigenous status (mother),Indigenous,Trend,2010,3681,11488,32
Overview and demographics,Maternal age,Maternal age,24,Indigenous status (mother),Non-Indigenous,Trend,2010,38029,283172,13.4
Overview and demographics,Maternal age,Maternal age,24,Indigenous status (mother),Not stated,Trend,2010,124,795,15.6
Overview and demographics,Maternal age,Maternal age,29,Indigenous status (mother),Indigenous,Trend,2010,2754,11488,24
Overview and demographics,Maternal age,Maternal age,29,Indigenous status (mother),Non-Indigenous,Trend,2010,78557,283172,27.7
Overview and demographics,Maternal age,Maternal age,29,Indigenous status (mother),Not stated,Trend,2010,181,795,22.8
Overview and demographics,Maternal age,Maternal age,34,Indigenous status (mother),Indigenous,Trend,2010,1697,11488,14.8
Overview and demographics,Maternal age,Maternal age,34,Indigenous status (mother),Non-Indigenous,Trend,2010,90725,283172,32
Overview and demographics,Maternal age,Maternal age,34,Indigenous status (mother),Not stated,Trend,2010,252,795,31.7
Overview and demographics,Maternal age,Maternal age,39,Indigenous status (mother),Indigenous,Trend,2010,891,11488,7.8
Overview and demographics,Maternal age,Maternal age,39,Indigenous status (mother),Non-Indigenous,Trend,2010,54874,283172,19.4
Overview and demographics,Maternal age,Maternal age,39,Indigenous status (mother),Not stated,Trend,2010,142,795,17.9
Overview and demographics,Maternal age,Maternal age,40,Indigenous status (mother),Indigenous,Trend,2010,201,11488,1.7
Overview and demographics,Maternal age,Maternal age,40,Indigenous status (mother),Non-Indigenous,Trend,2010,11835,283172,4.2
Overview and demographics,Maternal age,Maternal age,40,Indigenous status (mother),Not stated,Trend,2010,46,795,5.8
Overview and demographics,Maternal age,Maternal age,0,Indigenous status (mother),Indigenous,Trend,2010,0,11488,0
Overview and demographics,Maternal age,Maternal age,0,Indigenous status (mother),Non-Indigenous,Trend,2010,80,283172,0
Overview and demographics,Maternal age,Maternal age,0,Indigenous status (mother),Not stated,Trend,2010,16,795,2
Overview and demographics,Maternal age,Maternal age,20,Parity,None,Trend,2010,9483,125521,7.6
Overview and demographics,Maternal age,Maternal age,20,Parity,One,Trend,2010,1676,98510,1.7
Overview and demographics,Maternal age,Maternal age,20,Parity,Two,Trend,2010,189,43835,0.4
Overview and demographics,Maternal age,Maternal age,20,Parity,Three,Trend,2010,12,15721,0.1
Overview and demographics,Maternal age,Maternal age,20,Parity,Four or more,Trend,2010,7,11098,0.1
Overview and demographics,Maternal age,Maternal age,20,Parity,Not stated,Trend,2010,3,770,0.4
Overview and demographics,Maternal age,Maternal age,24,Parity,None,Trend,2010,23500,125521,18.7
Overview and demographics,Maternal age,Maternal age,24,Parity,One,Trend,2010,12871,98510,13.1
Overview and demographics,Maternal age,Maternal age,24,Parity,Two,Trend,2010,4127,43835,9.4
Overview and demographics,Maternal age,Maternal age,24,Parity,Three,Trend,2010,1009,15721,6.4
Overview and demographics,Maternal age,Maternal age,24,Parity,Four or more,Trend,2010,300,11098,2.7
Overview and demographics,Maternal age,Maternal age,24,Parity,Not stated,Trend,2010,27,770,3.5
Overview and demographics,Maternal age,Maternal age,29,Parity,None,Trend,2010,39774,125521,31.7
Overview and demographics,Maternal age,Maternal age,29,Parity,One,Trend,2010,25350,98510,25.7
Overview and demographics,Maternal age,Maternal age,29,Parity,Two,Trend,2010,10405,43835,23.7
Overview and demographics,Maternal age,Maternal age,29,Parity,Three,Trend,2010,3730,15721,23.7
Overview and demographics,Maternal age,Maternal age,29,Parity,Four or more,Trend,2010,2116,11098,19.1
Overview and demographics,Maternal age,Maternal age,29,Parity,Not stated,Trend,2010,117,770,15.2
Overview and demographics,Maternal age,Maternal age,34,Parity,None,Trend,2010,34607,125521,27.6
Overview and demographics,Maternal age,Maternal age,34,Parity,One,Trend,2010,33937,98510,34.5
Overview and demographics,Maternal age,Maternal age,34,Parity,Two,Trend,2010,15016,43835,34.3
Overview and demographics,Maternal age,Maternal age,34,Parity,Three,Trend,2010,5246,15721,33.4
Overview and demographics,Maternal age,Maternal age,34,Parity,Four or more,Trend,2010,3611,11098,32.5
Overview and demographics,Maternal age,Maternal age,34,Parity,Not stated,Trend,2010,257,770,33.4
Overview and demographics,Maternal age,Maternal age,39,Parity,None,Trend,2010,15074,125521,12
Overview and demographics,Maternal age,Maternal age,39,Parity,One,Trend,2010,20766,98510,21.1
Overview and demographics,Maternal age,Maternal age,39,Parity,Two,Trend,2010,11655,43835,26.6
Overview and demographics,Maternal age,Maternal age,39,Parity,Three,Trend,2010,4515,15721,28.7
Overview and demographics,Maternal age,Maternal age,39,Parity,Four or more,Trend,2010,3632,11098,32.7
Overview and demographics,Maternal age,Maternal age,39,Parity,Not stated,Trend,2010,265,770,34.4
Overview and demographics,Maternal age,Maternal age,40,Parity,None,Trend,2010,3047,125521,2.4
Overview and demographics,Maternal age,Maternal age,40,Parity,One,Trend,2010,3875,98510,3.9
Overview and demographics,Maternal age,Maternal age,40,Parity,Two,Trend,2010,2431,43835,5.5
Overview and demographics,Maternal age,Maternal age,40,Parity,Three,Trend,2010,1207,15721,7.7
Overview and demographics,Maternal age,Maternal age,40,Parity,Four or more,Trend,2010,1429,11098,12.9
Overview and demographics,Maternal age,Maternal age,40,Parity,Not stated,Trend,2010,93,770,12.1
Overview and demographics,Maternal age,Maternal age,0,Parity,None,Trend,2010,36,125521,0
Overview and demographics,Maternal age,Maternal age,0,Parity,One,Trend,2010,35,98510,0
Overview and demographics,Maternal age,Maternal age,0,Parity,Two,Trend,2010,12,43835,0
Overview and demographics,Maternal age,Maternal age,0,Parity,Three,Trend,2010,2,15721,0
Overview and demographics,Maternal age,Maternal age,0,Parity,Four or more,Trend,2010,3,11098,0
Overview and demographics,Maternal age,Maternal age,0,Parity,Not stated,Trend,2010,8,770,1
Overview and demographics,Maternal age,Maternal age,20,State and territory of birth,NSW,Trend,2010,3199,94993,3.4
Overview and demographics,Maternal age,Maternal age,20,State and territory of birth,Vic,Trend,2010,1807,73258,2.5
Overview and demographics,Maternal age,Maternal age,20,State and territory of birth,Qld,Trend,2010,3342,61020,5.5
Overview and demographics,Maternal age,Maternal age,20,State and territory of birth,WA,Trend,2010,1351,30842,4.4
Overview and demographics,Maternal age,Maternal age,20,State and territory of birth,SA,Trend,2010,789,19666,4
Overview and demographics,Maternal age,Maternal age,20,State and territory of birth,Tas,Trend,2010,357,6020,5.9
Overview and demographics,Maternal age,Maternal age,20,State and territory of birth,ACT,Trend,2010,124,5826,2.1
Overview and demographics,Maternal age,Maternal age,20,State and territory of birth,NT,Trend,2010,401,3830,10.5
Overview and demographics,Maternal age,Maternal age,24,State and territory of birth,NSW,Trend,2010,12775,94993,13.4
Overview and demographics,Maternal age,Maternal age,24,State and territory of birth,Vic,Trend,2010,8211,73258,11.2
Overview and demographics,Maternal age,Maternal age,24,State and territory of birth,Qld,Trend,2010,10595,61020,17.4
Overview and demographics,Maternal age,Maternal age,24,State and territory of birth,WA,Trend,2010,4720,30842,15.3
Overview and demographics,Maternal age,Maternal age,24,State and territory of birth,SA,Trend,2010,2958,19666,15
Overview and demographics,Maternal age,Maternal age,24,State and territory of birth,Tas,Trend,2010,1179,6020,19.6
Overview and demographics,Maternal age,Maternal age,24,State and territory of birth,ACT,Trend,2010,591,5826,10.1
Overview and demographics,Maternal age,Maternal age,24,State and territory of birth,NT,Trend,2010,805,3830,21
Overview and demographics,Maternal age,Maternal age,29,State and territory of birth,NSW,Trend,2010,25810,94993,27.2
Overview and demographics,Maternal age,Maternal age,29,State and territory of birth,Vic,Trend,2010,19323,73258,26.4
Overview and demographics,Maternal age,Maternal age,29,State and territory of birth,Qld,Trend,2010,17334,61020,28.4
Overview and demographics,Maternal age,Maternal age,29,State and territory of birth,WA,Trend,2010,8779,30842,28.5
Overview and demographics,Maternal age,Maternal age,29,State and territory of birth,SA,Trend,2010,5842,19666,29.7
Overview and demographics,Maternal age,Maternal age,29,State and territory of birth,Tas,Trend,2010,1775,6020,29.5
Overview and demographics,Maternal age,Maternal age,29,State and territory of birth,ACT,Trend,2010,1559,5826,26.8
Overview and demographics,Maternal age,Maternal age,29,State and territory of birth,NT,Trend,2010,1070,3830,27.9
Overview and demographics,Maternal age,Maternal age,34,State and territory of birth,NSW,Trend,2010,30204,94993,31.8
Overview and demographics,Maternal age,Maternal age,34,State and territory of birth,Vic,Trend,2010,24764,73258,33.8
Overview and demographics,Maternal age,Maternal age,34,State and territory of birth,Qld,Trend,2010,17618,61020,28.9
Overview and demographics,Maternal age,Maternal age,34,State and territory of birth,WA,Trend,2010,9506,30842,30.8
Overview and demographics,Maternal age,Maternal age,34,State and territory of birth,SA,Trend,2010,6051,19666,30.8
Overview and demographics,Maternal age,Maternal age,34,State and territory of birth,Tas,Trend,2010,1584,6020,26.3
Overview and demographics,Maternal age,Maternal age,34,State and territory of birth,ACT,Trend,2010,2038,5826,35
Overview and demographics,Maternal age,Maternal age,34,State and territory of birth,NT,Trend,2010,909,3830,23.7
