place_of_birth,topic,topic_disaggregation,year,count,year_total,percent_total
Birth centre,State and territory of birth,NT,2018,36,3727,1
Home,State and territory of birth,NSW,2018,140,94163,0.1
Home,State and territory of birth,Vic,2018,302,77733,0.4
Home,State and territory of birth,Qld,2018,129,59624,0.2
Home,State and territory of birth,WA,2018,181,32974,0.5
Home,State and territory of birth,SA,2018,97,19044,0.5
Home,State and territory of birth,Tas,2018,47,5436,0.9
Home,State and territory of birth,ACT,2018,15,5929,0.3
Home,State and territory of birth,NT,2018,33,3727,0.9
Other,State and territory of birth,NSW,2018,629,94163,0.7
Other,State and territory of birth,Vic,2018,398,77733,0.5
Other,State and territory of birth,Qld,2018,426,59624,0.7
Other,State and territory of birth,WA,2018,164,32974,0.5
Other,State and territory of birth,SA,2018,128,19044,0.7
Other,State and territory of birth,Tas,2018,30,5436,0.6
Other,State and territory of birth,ACT,2018,28,5929,0.5
Other,State and territory of birth,NT,2018,57,3727,1.5
Not stated,State and territory of birth,NSW,2018,6,94163,0
Not stated,State and territory of birth,Vic,2018,0,77733,0
Not stated,State and territory of birth,Qld,2018,0,59624,0
Not stated,State and territory of birth,WA,2018,22,32974,0.1
Not stated,State and territory of birth,SA,2018,0,19044,0
Not stated,State and territory of birth,Tas,2018,0,5436,0
Not stated,State and territory of birth,ACT,2018,0,5929,0
Not stated,State and territory of birth,NT,2018,0,3727,0
Hospital,Country of birth (mother),Born in Australia,2010,204195,210896,96.8
Hospital,Country of birth (mother),Born overseas,2010,80627,82826,97.3
Hospital,Country of birth (mother),Not stated,2010,1416,1733,81.7
Birth centre,Country of birth (mother),Born in Australia,2010,4747,210896,2.3
Birth centre,Country of birth (mother),Born overseas,2010,1610,82826,1.9
Birth centre,Country of birth (mother),Not stated,2010,4,1733,0.2
Home,Country of birth (mother),Born in Australia,2010,785,210896,0.4
Home,Country of birth (mother),Born overseas,2010,219,82826,0.3
Home,Country of birth (mother),Not stated,2010,277,1733,16
Other,Country of birth (mother),Born in Australia,2010,959,210896,0.5
Other,Country of birth (mother),Born overseas,2010,299,82826,0.4
Other,Country of birth (mother),Not stated,2010,29,1733,1.7
Not stated,Country of birth (mother),Born in Australia,2010,210,210896,0.1
Not stated,Country of birth (mother),Born overseas,2010,71,82826,0.1
Not stated,Country of birth (mother),Not stated,2010,7,1733,0.4
Hospital,Indigenous status (mother),Indigenous,2010,11152,11488,97.1
Hospital,Indigenous status (mother),Non-Indigenous,2010,274348,283172,96.9
Hospital,Indigenous status (mother),Not stated,2010,738,795,92.8
Birth centre,Indigenous status (mother),Indigenous,2010,151,11488,1.3
Birth centre,Indigenous status (mother),Non-Indigenous,2010,6200,283172,2.2
Birth centre,Indigenous status (mother),Not stated,2010,10,795,1.3
Home,Indigenous status (mother),Indigenous,2010,12,11488,0.1
Home,Indigenous status (mother),Non-Indigenous,2010,1234,283172,0.4
Home,Indigenous status (mother),Not stated,2010,35,795,4.4
Other,Indigenous status (mother),Indigenous,2010,168,11488,1.5
Other,Indigenous status (mother),Non-Indigenous,2010,1116,283172,0.4
Other,Indigenous status (mother),Not stated,2010,3,795,0.4
Not stated,Indigenous status (mother),Indigenous,2010,5,11488,0
Not stated,Indigenous status (mother),Non-Indigenous,2010,274,283172,0.1
Not stated,Indigenous status (mother),Not stated,2010,9,795,1.1
Hospital,Maternal age,Less than 20,2010,11096,11370,97.6
Hospital,Maternal age,20-24,2010,40548,41834,96.9
Hospital,Maternal age,25-29,2010,78858,81492,96.8
Hospital,Maternal age,30-34,2010,89657,92674,96.7
Hospital,Maternal age,35-39,2010,54196,55907,96.9
Hospital,Maternal age,40 and over,2010,11809,12082,97.7
Hospital,Maternal age,Not stated,2010,74,96,0.8
Birth centre,Maternal age,Less than 20,2010,185,11370,1.6
Birth centre,Maternal age,20-24,2010,907,41834,2.2
Birth centre,Maternal age,25-29,2010,1913,81492,2.3
Birth centre,Maternal age,30-34,2010,2058,92674,2.2
Birth centre,Maternal age,35-39,2010,1133,55907,2
Birth centre,Maternal age,40 and over,2010,165,12082,1.4
Birth centre,Maternal age,Not stated,2010,0,96,0
Home,Maternal age,Less than 20,2010,13,11370,0.1
Home,Maternal age,20-24,2010,84,41834,0.2
Home,Maternal age,25-29,2010,290,81492,0.4
Home,Maternal age,30-34,2010,518,92674,0.6
Home,Maternal age,35-39,2010,303,55907,0.5
Home,Maternal age,40 and over,2010,61,12082,0.5
Home,Maternal age,Not stated,2010,12,96,0.1
Other,Maternal age,Less than 20,2010,72,11370,0.6
Other,Maternal age,20-24,2010,263,41834,0.6
Other,Maternal age,25-29,2010,353,81492,0.4
Other,Maternal age,30-34,2010,358,92674,0.4
Other,Maternal age,35-39,2010,208,55907,0.4
Other,Maternal age,40 and over,2010,33,12082,0.3
Other,Maternal age,Not stated,2010,0,96,0
Not stated,Maternal age,Less than 20,2010,4,11370,0
Not stated,Maternal age,20-24,2010,32,41834,0.1
Not stated,Maternal age,25-29,2010,78,81492,0.1
Not stated,Maternal age,30-34,2010,83,92674,0.1
Not stated,Maternal age,35-39,2010,67,55907,0.1
Not stated,Maternal age,40 and over,2010,14,12082,0.1
Not stated,Maternal age,Not stated,2010,10,96,0.1
Hospital,Parity,None,2010,122738,125521,97.8
Hospital,Parity,One,2010,94889,98510,96.3
Hospital,Parity,Two,2010,42133,43835,96.1
Hospital,Parity,Three,2010,15056,15721,95.8
Hospital,Parity,Four or more,2010,10662,11098,96.1
Hospital,Parity,Not stated,2010,760,770,98.7
Birth centre,Parity,None,2010,2220,125521,1.8
Birth centre,Parity,One,2010,2482,98510,2.5
Birth centre,Parity,Two,2010,1118,43835,2.6
Birth centre,Parity,Three,2010,362,15721,2.3
Birth centre,Parity,Four or more,2010,177,11098,1.6
Birth centre,Parity,Not stated,2010,2,770,0.3
Home,Parity,None,2010,299,125521,0.2
Home,Parity,One,2010,514,98510,0.5
Home,Parity,Two,2010,277,43835,0.6
Home,Parity,Three,2010,109,15721,0.7
Home,Parity,Four or more,2010,75,11098,0.7
Home,Parity,Not stated,2010,7,770,0.9
Other,Parity,None,2010,187,125521,0.1
Other,Parity,One,2010,510,98510,0.5
Other,Parity,Two,2010,257,43835,0.6
Other,Parity,Three,2010,173,15721,1.1
Other,Parity,Four or more,2010,160,11098,1.4
Other,Parity,Not stated,2010,0,770,0
Not stated,Parity,None,2010,77,125521,0.1
Not stated,Parity,One,2010,115,98510,0.1
Not stated,Parity,Two,2010,50,43835,0.1
Not stated,Parity,Three,2010,21,15721,0.1
Not stated,Parity,Four or more,2010,24,11098,0.2
Not stated,Parity,Not stated,2010,1,770,0.1
Hospital,State and territory of birth,NSW,2010,91575,94993,96.4
Hospital,State and territory of birth,Vic,2010,71511,73258,97.6
Hospital,State and territory of birth,Qld,2010,59829,61020,98
Hospital,State and territory of birth,WA,2010,30125,30842,97.7
Hospital,State and territory of birth,SA,2010,18223,19666,92.7
Hospital,State and territory of birth,Tas,2010,5916,6020,98.3
Hospital,State and territory of birth,ACT,2010,5475,5826,94
Hospital,State and territory of birth,NT,2010,3584,3830,93.6
Birth centre,State and territory of birth,NSW,2010,2651,94993,2.8
Birth centre,State and territory of birth,Vic,2010,984,73258,1.3
Birth centre,State and territory of birth,Qld,2010,691,61020,1.1
Birth centre,State and territory of birth,WA,2010,333,30842,1.1
Birth centre,State and territory of birth,SA,2010,1214,19666,6.2
Birth centre,State and territory of birth,Tas,2010,42,6020,0.7
Birth centre,State and territory of birth,ACT,2010,320,5826,5.5
Birth centre,State and territory of birth,NT,2010,126,3830,3.3
Home,State and territory of birth,NSW,2010,246,94993,0.3
Home,State and territory of birth,Vic,2010,503,73258,0.7
Home,State and territory of birth,Qld,2010,85,61020,0.1
Home,State and territory of birth,WA,2010,255,30842,0.8
Home,State and territory of birth,SA,2010,142,19666,0.7
Home,State and territory of birth,Tas,2010,13,6020,0.2
Home,State and territory of birth,ACT,2010,6,5826,0.1
Home,State and territory of birth,NT,2010,31,3830,0.8
Other,State and territory of birth,NSW,2010,465,94993,0.5
Other,State and territory of birth,Vic,2010,28,73258,0
Other,State and territory of birth,Qld,2010,415,61020,0.7
Other,State and territory of birth,WA,2010,129,30842,0.4
Other,State and territory of birth,SA,2010,87,19666,0.4
Other,State and territory of birth,Tas,2010,49,6020,0.8
Other,State and territory of birth,ACT,2010,25,5826,0.4
Other,State and territory of birth,NT,2010,89,3830,2.3
Not stated,State and territory of birth,NSW,2010,56,94993,0.1
Not stated,State and territory of birth,Vic,2010,232,73258,0.3
Not stated,State and territory of birth,Qld,2010,0,61020,0
Not stated,State and territory of birth,WA,2010,0,30842,0
Not stated,State and territory of birth,SA,2010,0,19666,0
Not stated,State and territory of birth,Tas,2010,0,6020,0
Not stated,State and territory of birth,ACT,2010,0,5826,0
Not stated,State and territory of birth,NT,2010,0,3830,0
Hospital,Country of birth (mother),Born in Australia,2011,202700,209383,96.8
Hospital,Country of birth (mother),Born overseas,2011,84294,86509,97.4
Hospital,Country of birth (mother),Not stated,2011,1188,1451,81.9
Birth centre,Country of birth (mother),Born in Australia,2011,4897,209383,2.3
Birth centre,Country of birth (mother),Born overseas,2011,1714,86509,2
Birth centre,Country of birth (mother),Not stated,2011,3,1451,0.2
Home,Country of birth (mother),Born in Australia,2011,758,209383,0.4
Home,Country of birth (mother),Born overseas,2011,216,86509,0.2
Home,Country of birth (mother),Not stated,2011,249,1451,17.2
Other,Country of birth (mother),Born in Australia,2011,886,209383,0.4
Other,Country of birth (mother),Born overseas,2011,234,86509,0.3
Other,Country of birth (mother),Not stated,2011,2,1451,0.1
Not stated,Country of birth (mother),Born in Australia,2011,142,209383,0.1
Not stated,Country of birth (mother),Born overseas,2011,51,86509,0.1
Not stated,Country of birth (mother),Not stated,2011,9,1451,0.6
Hospital,Indigenous status (mother),Indigenous,2011,11449,11731,97.6
Hospital,Indigenous status (mother),Non-Indigenous,2011,276069,284909,96.9
Hospital,Indigenous status (mother),Not stated,2011,664,703,94.5
Birth centre,Indigenous status (mother),Indigenous,2011,126,11731,1.1
Birth centre,Indigenous status (mother),Non-Indigenous,2011,6481,284909,2.3
Birth centre,Indigenous status (mother),Not stated,2011,7,703,1
Home,Indigenous status (mother),Indigenous,2011,14,11731,0.1
Home,Indigenous status (mother),Non-Indigenous,2011,1183,284909,0.4
Home,Indigenous status (mother),Not stated,2011,26,703,3.7
Other,Indigenous status (mother),Indigenous,2011,137,11731,1.2
Other,Indigenous status (mother),Non-Indigenous,2011,983,284909,0.3
Other,Indigenous status (mother),Not stated,2011,2,703,0.3
Not stated,Indigenous status (mother),Indigenous,2011,5,11731,0
Not stated,Indigenous status (mother),Non-Indigenous,2011,193,284909,0.1
Not stated,Indigenous status (mother),Not stated,2011,4,703,0.6
Hospital,Maternal age,Less than 20,2011,10775,11016,97.8
Hospital,Maternal age,20-24,2011,39946,41108,97.2
Hospital,Maternal age,25-29,2011,80504,83163,96.8
Hospital,Maternal age,30-34,2011,91528,94580,96.8
Hospital,Maternal age,35-39,2011,52896,54581,96.9
Hospital,Maternal age,40 and over,2011,12433,12778,97.3
Hospital,Maternal age,Not stated,2011,100,117,85.5
Birth centre,Maternal age,Less than 20,2011,173,11016,1.6
Birth centre,Maternal age,20-24,2011,870,41108,2.1
Birth centre,Maternal age,25-29,2011,1984,83163,2.4
Birth centre,Maternal age,30-34,2011,2208,94580,2.3
Birth centre,Maternal age,35-39,2011,1168,54581,2.1
Birth centre,Maternal age,40 and over,2011,211,12778,1.7
Birth centre,Maternal age,Not stated,2011,0,117,0
Home,Maternal age,Less than 20,2011,16,11016,0.1
Home,Maternal age,20-24,2011,87,41108,0.2
Home,Maternal age,25-29,2011,298,83163,0.4
Home,Maternal age,30-34,2011,439,94580,0.5
Home,Maternal age,35-39,2011,299,54581,0.5
Home,Maternal age,40 and over,2011,72,12778,0.6
Home,Maternal age,Not stated,2011,12,117,10.3
Other,Maternal age,Less than 20,2011,47,11016,0.4
Other,Maternal age,20-24,2011,189,41108,0.5
Other,Maternal age,25-29,2011,325,83163,0.4
Other,Maternal age,30-34,2011,331,94580,0.3
Other,Maternal age,35-39,2011,181,54581,0.3
Other,Maternal age,40 and over,2011,49,12778,0.4
Other,Maternal age,Not stated,2011,0,117,0
Not stated,Maternal age,Less than 20,2011,5,11016,0
Not stated,Maternal age,20-24,2011,16,41108,0
Not stated,Maternal age,25-29,2011,52,83163,0.1
Not stated,Maternal age,30-34,2011,74,94580,0.1
Not stated,Maternal age,35-39,2011,37,54581,0.1
Not stated,Maternal age,40 and over,2011,13,12778,0.1
Not stated,Maternal age,Not stated,2011,5,117,4.3
Hospital,Parity,None,2011,124979,127759,97.8
Hospital,Parity,One,2011,95757,99438,96.3
Hospital,Parity,Two,2011,41530,43211,96.1
Hospital,Parity,Three,2011,14531,15114,96.1
Hospital,Parity,Four or more,2011,10177,10588,96.1
Hospital,Parity,Not stated,2011,1208,1233,98
Birth centre,Parity,None,2011,2341,127759,1.8
Birth centre,Parity,One,2011,2641,99438,2.7
Birth centre,Parity,Two,2011,1128,43211,2.6
Birth centre,Parity,Three,2011,328,15114,2.2
Birth centre,Parity,Four or more,2011,167,10588,1.6
Birth centre,Parity,Not stated,2011,9,1233,0.7
Home,Parity,None,2011,259,127759,0.2
Home,Parity,One,2011,495,99438,0.5
Home,Parity,Two,2011,276,43211,0.6
Home,Parity,Three,2011,97,15114,0.6
Home,Parity,Four or more,2011,89,10588,0.8
Home,Parity,Not stated,2011,7,1233,0.6
Other,Parity,None,2011,128,127759,0.1
Other,Parity,One,2011,464,99438,0.5
Other,Parity,Two,2011,243,43211,0.6
Other,Parity,Three,2011,140,15114,0.9
Other,Parity,Four or more,2011,145,10588,1.4
Other,Parity,Not stated,2011,2,1233,0.2
Not stated,Parity,None,2011,52,127759,0
Not stated,Parity,One,2011,81,99438,0.1
Not stated,Parity,Two,2011,34,43211,0.1
Not stated,Parity,Three,2011,18,15114,0.1
Not stated,Parity,Four or more,2011,10,10588,0.1
Not stated,Parity,Not stated,2011,7,1233,0.6
Hospital,State and territory of birth,NSW,2011,92305,95819,96.3
Hospital,State and territory of birth,Vic,2011,71326,72939,97.8
Hospital,State and territory of birth,Qld,2011,59779,61117,97.8
Hospital,State and territory of birth,WA,2011,31144,31747,98.1
Hospital,State and territory of birth,SA,2011,18634,20043,93
Hospital,State and territory of birth,Tas,2011,6142,6220,98.7
Hospital,State and territory of birth,ACT,2011,5204,5584,93.2
Hospital,State and territory of birth,NT,2011,3648,3874,94.2
Birth centre,State and territory of birth,NSW,2011,2804,95819,2.9
Birth centre,State and territory of birth,Vic,2011,890,72939,1.2
Birth centre,State and territory of birth,Qld,2011,840,61117,1.4
Birth centre,State and territory of birth,WA,2011,362,31747,1.1
Birth centre,State and territory of birth,SA,2011,1235,20043,6.2
Birth centre,State and territory of birth,Tas,2011,23,6220,0.4
Birth centre,State and territory of birth,ACT,2011,343,5584,6.1
Birth centre,State and territory of birth,NT,2011,117,3874,3
Home,State and territory of birth,NSW,2011,223,95819,0.2
Home,State and territory of birth,Vic,2011,535,72939,0.7
Home,State and territory of birth,Qld,2011,69,61117,0.1
Home,State and territory of birth,WA,2011,241,31747,0.8
Home,State and territory of birth,SA,2011,96,20043,0.5
Home,State and territory of birth,Tas,2011,10,6220,0.2
Home,State and territory of birth,ACT,2011,9,5584,0.2
Home,State and territory of birth,NT,2011,40,3874,1
Other,State and territory of birth,NSW,2011,450,95819,0.5
Other,State and territory of birth,Vic,2011,24,72939,0
Other,State and territory of birth,Qld,2011,429,61117,0.7
Other,State and territory of birth,WA,2011,0,31747,0
Other,State and territory of birth,SA,2011,78,20043,0.4
Other,State and territory of birth,Tas,2011,45,6220,0.7
Other,State and territory of birth,ACT,2011,27,5584,0.5
Other,State and territory of birth,NT,2011,69,3874,1.8
Not stated,State and territory of birth,NSW,2011,37,95819,0
Not stated,State and territory of birth,Vic,2011,164,72939,0.2
Not stated,State and territory of birth,Qld,2011,0,61117,0
Not stated,State and territory of birth,WA,2011,0,31747,0
Not stated,State and territory of birth,SA,2011,0,20043,0
Not stated,State and territory of birth,Tas,2011,0,6220,0
Not stated,State and territory of birth,ACT,2011,1,5584,0
Not stated,State and territory of birth,NT,2011,0,3874,0
Hospital,Country of birth (mother),Born in Australia,2012,204845,211609,96.8
Hospital,Country of birth (mother),Born overseas,2012,91838,94283,97.4
Hospital,Country of birth (mother),Not stated,2012,1400,1678,83.4
Birth centre,Country of birth (mother),Born in Australia,2012,4989,211609,2.4
Birth centre,Country of birth (mother),Born overseas,2012,1925,94283,2
Birth centre,Country of birth (mother),Not stated,2012,28,1678,1.7
Home,Country of birth (mother),Born in Australia,2012,734,211609,0.3
Home,Country of birth (mother),Born overseas,2012,199,94283,0.2
Home,Country of birth (mother),Not stated,2012,244,1678,14.5
Other,Country of birth (mother),Born in Australia,2012,1015,211609,0.5
Other,Country of birth (mother),Born overseas,2012,312,94283,0.3
Other,Country of birth (mother),Not stated,2012,6,1678,0.4
Not stated,Country of birth (mother),Born in Australia,2012,26,211609,0
Not stated,Country of birth (mother),Born overseas,2012,9,94283,0
Not stated,Country of birth (mother),Not stated,2012,0,1678,0
Hospital,Indigenous status (mother),Indigenous,2012,11956,12286,97.3
Hospital,Indigenous status (mother),Non-Indigenous,2012,285485,294619,96.9
Hospital,Indigenous status (mother),Not stated,2012,642,665,96.5
Birth centre,Indigenous status (mother),Indigenous,2012,152,12286,1.2
Birth centre,Indigenous status (mother),Non-Indigenous,2012,6782,294619,2.3
Birth centre,Indigenous status (mother),Not stated,2012,8,665,1.2
Home,Indigenous status (mother),Indigenous,2012,14,12286,0.1
Home,Indigenous status (mother),Non-Indigenous,2012,1152,294619,0.4
Home,Indigenous status (mother),Not stated,2012,11,665,1.7
Other,Indigenous status (mother),Indigenous,2012,162,12286,1.3
Other,Indigenous status (mother),Non-Indigenous,2012,1167,294619,0.4
Other,Indigenous status (mother),Not stated,2012,4,665,0.6
Not stated,Indigenous status (mother),Indigenous,2012,2,12286,0
Not stated,Indigenous status (mother),Non-Indigenous,2012,33,294619,0
Not stated,Indigenous status (mother),Not stated,2012,0,665,0
Hospital,Maternal age,Less than 20,2012,10739,11059,97.1
Hospital,Maternal age,20-24,2012,40568,41805,97
Hospital,Maternal age,25-29,2012,82746,85537,96.7
Hospital,Maternal age,30-34,2012,96952,100094,96.9
Hospital,Maternal age,35-39,2012,54021,55685,97
Hospital,Maternal age,40 and over,2012,12999,13323,97.6
Hospital,Maternal age,Not stated,2012,58,67,0.9
Birth centre,Maternal age,Less than 20,2012,225,11059,2
