babies_term,topic,topic_disaggregation,year,count,year_total,percent_total
Not stated,Maternal age,35-39,2018,15,60245,0
Not stated,Maternal age,40 and over,2018,3,13414,0
Not stated,Maternal age,Not stated,2018,0,18,0
Pre-term,Method of birth,Vaginal (non-instrumental),2018,10420,156238,6.7
Pre-term,Method of birth,Vaginal (forceps),2018,950,15575,6.1
Pre-term,Method of birth,Vaginal (vacuum),2018,912,22424,4.1
Pre-term,Method of birth,Caesarean section,2018,14158,108764,13
Pre-term,Method of birth,Not stated,2018,21,28,75
Term,Method of birth,Vaginal (non-instrumental),2018,145151,156238,92.9
Term,Method of birth,Vaginal (forceps),2018,14505,15575,93.1
Term,Method of birth,Vaginal (vacuum),2018,21396,22424,95.4
Term,Method of birth,Caesarean section,2018,94146,108764,86.6
Term,Method of birth,Not stated,2018,5,28,17.9
Post-term,Method of birth,Vaginal (non-instrumental),2018,634,156238,0.4
Post-term,Method of birth,Vaginal (forceps),2018,115,15575,0.7
Post-term,Method of birth,Vaginal (vacuum),2018,107,22424,0.5
Post-term,Method of birth,Caesarean section,2018,439,108764,0.4
Post-term,Method of birth,Not stated,2018,0,28,0
Not stated,Method of birth,Vaginal (non-instrumental),2018,33,156238,0
Not stated,Method of birth,Vaginal (forceps),2018,5,15575,0
Not stated,Method of birth,Vaginal (vacuum),2018,9,22424,0
Not stated,Method of birth,Caesarean section,2018,21,108764,0
Not stated,Method of birth,Not stated,2018,2,28,7.1
Pre-term,Onset of labour,Spontaneous,2018,10524,130107,8.1
Pre-term,Onset of labour,Induced,2018,5231,102855,5.1
Pre-term,Onset of labour,No labour,2018,10528,69856,15.1
Pre-term,Onset of labour,Not stated,2018,178,211,84.4
Term,Onset of labour,Spontaneous,2018,119117,130107,91.6
Term,Onset of labour,Induced,2018,96813,102855,94.1
Term,Onset of labour,No labour,2018,59241,69856,84.8
Term,Onset of labour,Not stated,2018,32,211,15.2
Post-term,Onset of labour,Spontaneous,2018,428,130107,0.3
Post-term,Onset of labour,Induced,2018,794,102855,0.8
Post-term,Onset of labour,No labour,2018,73,69856,0.1
Post-term,Onset of labour,Not stated,2018,0,211,0
Not stated,Onset of labour,Spontaneous,2018,38,130107,0
Not stated,Onset of labour,Induced,2018,17,102855,0
Not stated,Onset of labour,No labour,2018,14,69856,0
Not stated,Onset of labour,Not stated,2018,1,211,0.5
Pre-term,Plurality,Singleton,2018,20571,294297,7
Pre-term,Plurality,Twins,2018,5701,8540,66.8
Pre-term,Plurality,Other multiples,2018,189,192,98.4
Pre-term,Plurality,Not stated,2018,0,0,0
Term,Plurality,Singleton,2018,272363,294297,92.5
Term,Plurality,Not stated,2018,0,0,0
Post-term,Plurality,Other multiples,2018,0,192,0
Post-term,Plurality,Not stated,2018,0,0,0
Not stated,Plurality,Not stated,2018,0,0,0
Pre-term,Remoteness area,Major cities,2018,18504,218571,8.5
Pre-term,Remoteness area,Inner regional,2018,4476,48954,9.1
Pre-term,Remoteness area,Outer regional,2018,2282,23851,9.6
Pre-term,Remoteness area,Remote,2018,427,4236,10.1
Pre-term,Remoteness area,Very remote,2018,347,2577,13.4
Term,Remoteness area,Major cities,2018,199129,218571,91.1
Term,Remoteness area,Inner regional,2018,44203,48954,90.3
Term,Remoteness area,Outer regional,2018,21472,23851,90
Term,Remoteness area,Remote,2018,3795,4236,89.6
Term,Remoteness area,Very remote,2018,2225,2577,86.3
Post-term,Remoteness area,Major cities,2018,887,218571,0.4
Post-term,Remoteness area,Inner regional,2018,268,48954,0.5
Post-term,Remoteness area,Outer regional,2018,93,23851,0.4
Post-term,Remoteness area,Remote,2018,14,4236,0.3
Post-term,Remoteness area,Very remote,2018,5,2577,0.2
Not stated,Remoteness area,Major cities,2018,52,218571,0
Not stated,Remoteness area,Inner regional,2018,7,48954,0
Not stated,Remoteness area,Outer regional,2018,5,23851,0
Not stated,Remoteness area,Remote,2018,0,4236,0
Not stated,Remoteness area,Very remote,2018,0,2577,0
Pre-term,Sex,Male,2018,14165,155916,9.1
Pre-term,Sex,Female,2018,12194,146996,8.3
Pre-term,Sex,Indeterminate/Not stated,2018,102,117,87.2
Term,Sex,Male,2018,141051,155916,90.5
Term,Sex,Female,2018,134138,146996,91.3
Term,Sex,Indeterminate/Not stated,2018,14,117,12
Post-term,Sex,Male,2018,664,155916,0.4
Post-term,Sex,Female,2018,631,146996,0.4
Post-term,Sex,Indeterminate/Not stated,2018,0,117,0
Not stated,Sex,Male,2018,36,155916,0
Not stated,Sex,Female,2018,33,146996,0
Not stated,Sex,Indeterminate/Not stated,2018,1,117,0.9
Pre-term,Smoking status (any time during pregnancy),Smoked,2018,3867,28601,13.5
Pre-term,Smoking status (any time during pregnancy),Did not smoke,2018,21857,269326,8.1
Pre-term,Smoking status (any time during pregnancy),Not stated,2018,737,5102,14.4
Term,Smoking status (any time during pregnancy),Smoked,2018,24650,28601,86.2
Term,Smoking status (any time during pregnancy),Did not smoke,2018,246207,269326,91.4
Term,Smoking status (any time during pregnancy),Not stated,2018,4346,5102,85.2
Post-term,Smoking status (any time during pregnancy),Smoked,2018,80,28601,0.3
Post-term,Smoking status (any time during pregnancy),Did not smoke,2018,1206,269326,0.4
Post-term,Smoking status (any time during pregnancy),Not stated,2018,9,5102,0.2
Not stated,Smoking status (any time during pregnancy),Smoked,2018,4,28601,0
Not stated,Smoking status (any time during pregnancy),Did not smoke,2018,56,269326,0
Not stated,Smoking status (any time during pregnancy),Not stated,2018,10,5102,0.2
Pre-term,Socioeconomic status,Q1 (most disadvantaged),2018,5900,59522,9.9
Pre-term,Socioeconomic status,Q2,2018,5098,58044,8.8
Pre-term,Socioeconomic status,Q3,2018,5695,64811,8.8
Pre-term,Socioeconomic status,Q4,2018,5060,60672,8.3
Pre-term,Socioeconomic status,Q5 (least disadvantaged),2018,4258,54898,7.8
Pre-term,Socioeconomic status,Not stated,2018,338,3793,8.9
Term,Socioeconomic status,Q1 (most disadvantaged),2018,53393,59522,89.7
Term,Socioeconomic status,Q2,2018,52629,58044,90.7
Term,Socioeconomic status,Q3,2018,58799,64811,90.7
Term,Socioeconomic status,Q4,2018,55386,60672,91.3
Term,Socioeconomic status,Q5 (least disadvantaged),2018,50398,54898,91.8
Term,Socioeconomic status,Not stated,2018,3425,3793,90.3
Post-term,Socioeconomic status,Q1 (most disadvantaged),2018,223,59522,0.4
Post-term,Socioeconomic status,Q2,2018,306,58044,0.5
Post-term,Socioeconomic status,Q3,2018,309,64811,0.5
Post-term,Socioeconomic status,Q4,2018,212,60672,0.3
Post-term,Socioeconomic status,Q5 (least disadvantaged),2018,217,54898,0.4
Post-term,Socioeconomic status,Not stated,2018,26,3793,0.7
Not stated,Socioeconomic status,Q1 (most disadvantaged),2018,6,59522,0
Not stated,Socioeconomic status,Q2,2018,11,58044,0
Not stated,Socioeconomic status,Q3,2018,8,64811,0
Not stated,Socioeconomic status,Q4,2018,14,60672,0
Not stated,Socioeconomic status,Q5 (least disadvantaged),2018,25,54898,0
Not stated,Socioeconomic status,Not stated,2018,4,3793,0.1
Pre-term,State and territory of birth,NSW,2018,7324,95545,7.7
Pre-term,State and territory of birth,Vic,2018,7084,78909,9
Pre-term,State and territory of birth,Qld,2018,5453,60483,9
Pre-term,State and territory of birth,WA,2018,3144,33427,9.4
Pre-term,State and territory of birth,SA,2018,1877,19333,9.7
Pre-term,State and territory of birth,Tas,2018,560,5516,10.2
Pre-term,State and territory of birth,ACT,2018,570,6041,9.4
Pre-term,State and territory of birth,NT,2018,449,3775,11.9
Term,State and territory of birth,NSW,2018,87407,95545,91.5
Term,State and territory of birth,Vic,2018,71635,78909,90.8
Term,State and territory of birth,Qld,2018,54825,60483,90.6
Term,State and territory of birth,WA,2018,30202,33427,90.4
Term,State and territory of birth,SA,2018,17417,19333,90.1
Term,State and territory of birth,Tas,2018,4939,5516,89.5
Term,State and territory of birth,ACT,2018,5458,6041,90.3
Term,State and territory of birth,NT,2018,3320,3775,87.9
Post-term,State and territory of birth,NSW,2018,755,95545,0.8
Post-term,State and territory of birth,Vic,2018,183,78909,0.2
Post-term,State and territory of birth,Qld,2018,204,60483,0.3
Post-term,State and territory of birth,WA,2018,81,33427,0.2
Post-term,State and territory of birth,SA,2018,36,19333,0.2
Post-term,State and territory of birth,Tas,2018,17,5516,0.3
Post-term,State and territory of birth,ACT,2018,13,6041,0.2
Post-term,State and territory of birth,NT,2018,6,3775,0.2
Not stated,State and territory of birth,NSW,2018,59,95545,0.1
Not stated,State and territory of birth,Vic,2018,7,78909,0
Not stated,State and territory of birth,Qld,2018,1,60483,0
Not stated,State and territory of birth,WA,2018,0,33427,0
Not stated,State and territory of birth,SA,2018,3,19333,0
Not stated,State and territory of birth,Tas,2018,0,5516,0
Not stated,State and territory of birth,ACT,2018,0,6041,0
Not stated,State and territory of birth,NT,2018,0,3775,0
Pre-term,Admission to SCN/NICU,Admitted,2010,10602,26556,39.9
Pre-term,Admission to SCN/NICU,Not admitted,2010,2803,140521,2
Pre-term,Admission to SCN/NICU,Not stated,2010,13,110,11.8
Term,Admission to SCN/NICU,Admitted,2010,15731,26556,59.2
Term,Admission to SCN/NICU,Not admitted,2010,136469,140521,97.1
Term,Admission to SCN/NICU,Not stated,2010,87,110,79.1
Post-term,Admission to SCN/NICU,Admitted,2010,215,26556,0.8
Post-term,Admission to SCN/NICU,Not admitted,2010,1207,140521,0.9
Post-term,Admission to SCN/NICU,Not stated,2010,0,110,0
Not stated,Admission to SCN/NICU,Admitted,2010,8,26556,0
Not stated,Admission to SCN/NICU,Not admitted,2010,42,140521,0
Not stated,Admission to SCN/NICU,Not stated,2010,10,110,9.1
Pre-term,Birth status,Live birth,2010,22998,298014,7.7
Pre-term,Birth status,Stillbirth,2010,1808,2201,82.1
Pre-term,Birth status,Not stated,2010,0,0,0
Term,Birth status,Live birth,2010,272597,298014,91.5
Term,Birth status,Stillbirth,2010,388,2201,17.6
Term,Birth status,Not stated,2010,0,0,0
Post-term,Birth status,Live birth,2010,2355,298014,0.8
Post-term,Birth status,Stillbirth,2010,5,2201,0.2
Post-term,Birth status,Not stated,2010,0,0,0
Not stated,Birth status,Live birth,2010,64,298014,0
Not stated,Birth status,Stillbirth,2010,0,2201,0
Not stated,Birth status,Not stated,2010,0,0,0
Pre-term,Birthweight,Low birthweight,2010,14747,20263,72.8
Pre-term,Birthweight,Normal birthweight,2010,9949,274385,3.6
Pre-term,Birthweight,High birthweight,2010,23,5288,0.4
Pre-term,Birthweight,Not stated,2010,87,279,31.2
Term,Birthweight,Low birthweight,2010,5506,20263,27.2
Term,Birthweight,Normal birthweight,2010,262206,274385,95.6
Term,Birthweight,High birthweight,2010,5093,5288,96.3
Term,Birthweight,Not stated,2010,180,279,64.5
Post-term,Birthweight,Low birthweight,2010,8,20263,0
Post-term,Birthweight,Normal birthweight,2010,2178,274385,0.8
Post-term,Birthweight,High birthweight,2010,172,5288,3.3
Post-term,Birthweight,Not stated,2010,2,279,0.7
Not stated,Birthweight,Low birthweight,2010,2,20263,0
Not stated,Birthweight,Normal birthweight,2010,52,274385,0
Not stated,Birthweight,High birthweight,2010,0,5288,0
Not stated,Birthweight,Not stated,2010,10,279,3.6
Pre-term,Country of birth (mother),Born in Australia,2010,18380,214457,8.6
Pre-term,Country of birth (mother),Born overseas,2010,6255,83996,7.4
Pre-term,Country of birth (mother),Not stated,2010,171,1762,9.7
Term,Country of birth (mother),Born in Australia,2010,194267,214457,90.6
Term,Country of birth (mother),Born overseas,2010,77157,83996,91.9
Term,Country of birth (mother),Not stated,2010,1561,1762,88.6
Post-term,Country of birth (mother),Born in Australia,2010,1768,214457,0.8
Post-term,Country of birth (mother),Born overseas,2010,573,83996,0.7
Post-term,Country of birth (mother),Not stated,2010,19,1762,1.1
Not stated,Country of birth (mother),Born in Australia,2010,42,214457,0
Not stated,Country of birth (mother),Born overseas,2010,11,83996,0
Not stated,Country of birth (mother),Not stated,2010,11,1762,0.6
Pre-term,Hospital sector,Public,2010,18333,204070,9
Pre-term,Hospital sector,Private,2010,6174,86896,7.1
Pre-term,Hospital sector,Not stated,2010,0,1,0
Term,Hospital sector,Public,2010,183859,204070,90.1
Term,Hospital sector,Private,2010,80305,86896,92.4
Term,Hospital sector,Not stated,2010,1,1,100
Post-term,Hospital sector,Public,2010,1858,204070,0.9
Post-term,Hospital sector,Private,2010,388,86896,0.4
Post-term,Hospital sector,Not stated,2010,0,1,0
Not stated,Hospital sector,Public,2010,20,204070,0
Not stated,Hospital sector,Private,2010,29,86896,0
Not stated,Hospital sector,Not stated,2010,0,1,0
Pre-term,Indigenous status (mother),Indigenous,2010,1574,11633,13.5
Pre-term,Indigenous status (mother),Non-Indigenous,2010,23103,287773,8
Pre-term,Indigenous status (mother),Not stated,2010,129,809,15.9
Term,Indigenous status (mother),Indigenous,2010,9965,11633,85.7
Term,Indigenous status (mother),Non-Indigenous,2010,262356,287773,91.2
Term,Indigenous status (mother),Not stated,2010,664,809,82.1
Post-term,Indigenous status (mother),Indigenous,2010,90,11633,0.8
Post-term,Indigenous status (mother),Non-Indigenous,2010,2262,287773,0.8
Post-term,Indigenous status (mother),Not stated,2010,8,809,1
Not stated,Indigenous status (mother),Indigenous,2010,4,11633,0
Not stated,Indigenous status (mother),Non-Indigenous,2010,52,287773,0
Not stated,Indigenous status (mother),Not stated,2010,8,809,1
Pre-term,Maternal age,Less than 20,2010,1174,11455,10.2
Pre-term,Maternal age,20-24,2010,3567,42283,8.4
Pre-term,Maternal age,25-29,2010,6303,82577,7.6
Pre-term,Maternal age,30-34,2010,7434,94340,7.9
Pre-term,Maternal age,35-39,2010,5019,57095,8.8
Pre-term,Maternal age,40 and over,2010,1300,12369,10.5
Pre-term,Maternal age,Not stated,2010,9,96,9.4
Term,Maternal age,Less than 20,2010,10190,11455,89
Term,Maternal age,20-24,2010,38359,42283,90.7
Term,Maternal age,25-29,2010,75612,82577,91.6
Term,Maternal age,30-34,2010,86166,94340,91.3
Term,Maternal age,35-39,2010,51617,57095,90.4
Term,Maternal age,40 and over,2010,10966,12369,88.7
Term,Maternal age,Not stated,2010,75,96,78.1
Post-term,Maternal age,Less than 20,2010,89,11455,0.8
Post-term,Maternal age,20-24,2010,351,42283,0.8
Post-term,Maternal age,25-29,2010,656,82577,0.8
Post-term,Maternal age,30-34,2010,718,94340,0.8
Post-term,Maternal age,35-39,2010,446,57095,0.8
Post-term,Maternal age,40 and over,2010,99,12369,0.8
Post-term,Maternal age,Not stated,2010,1,96,1.0
Not stated,Maternal age,Less than 20,2010,2,11455,0
Not stated,Maternal age,20-24,2010,6,42283,0
Not stated,Maternal age,25-29,2010,6,82577,0
Not stated,Maternal age,30-34,2010,22,94340,0
Not stated,Maternal age,35-39,2010,13,57095,0
Not stated,Maternal age,40 and over,2010,4,12369,0
Not stated,Maternal age,Not stated,2010,11,96,11.5
Pre-term,Method of birth,Vaginal (non-instrumental),2010,11413,167517,6.8
Pre-term,Method of birth,Vaginal (forceps),2010,861,11871,7.3
Pre-term,Method of birth,Vaginal (vacuum),2010,812,23962,3.4
Pre-term,Method of birth,Caesarean section,2010,11707,96794,12.1
Pre-term,Method of birth,Not stated,2010,13,71,18.3
Term,Method of birth,Vaginal (non-instrumental),2010,154866,167517,92.4
Term,Method of birth,Vaginal (forceps),2010,10859,11871,91.5
Term,Method of birth,Vaginal (vacuum),2010,22929,23962,95.7
Term,Method of birth,Caesarean section,2010,84283,96794,87.1
Term,Method of birth,Not stated,2010,48,71,67.6
Post-term,Method of birth,Vaginal (non-instrumental),2010,1203,167517,0.7
Post-term,Method of birth,Vaginal (forceps),2010,148,11871,1.2
Post-term,Method of birth,Vaginal (vacuum),2010,218,23962,0.9
Post-term,Method of birth,Caesarean section,2010,791,96794,0.8
Post-term,Method of birth,Not stated,2010,0,71,0
Not stated,Method of birth,Vaginal (non-instrumental),2010,35,167517,0
Not stated,Method of birth,Vaginal (forceps),2010,3,11871,0
Not stated,Method of birth,Vaginal (vacuum),2010,3,23962,0
Not stated,Method of birth,Caesarean section,2010,13,96794,0
Not stated,Method of birth,Not stated,2010,10,71,14.1
Pre-term,Onset of labour,Spontaneous,2010,12669,166910,7.6
Pre-term,Onset of labour,Induced,2010,4695,75460,6.2
Pre-term,Onset of labour,No labour,2010,7425,57798,12.8
Pre-term,Onset of labour,Not stated,2010,17,47,36.2
Term,Onset of labour,Spontaneous,2010,153351,166910,91.9
Term,Onset of labour,Induced,2010,69421,75460,92
Term,Onset of labour,No labour,2010,50193,57798,86.8
Term,Onset of labour,Not stated,2010,20,47,42.6
Post-term,Onset of labour,Spontaneous,2010,850,166910,0.5
Post-term,Onset of labour,Induced,2010,1338,75460,1.8
Post-term,Onset of labour,No labour,2010,172,57798,0.3
Post-term,Onset of labour,Not stated,2010,0,47,0
Not stated,Onset of labour,Spontaneous,2010,40,166910,0
Not stated,Onset of labour,Induced,2010,6,75460,0
Not stated,Onset of labour,No labour,2010,8,57798,0
Not stated,Onset of labour,Not stated,2010,10,47,21.3
Pre-term,Plurality,Singleton,2010,19370,290773,6.7
Pre-term,Plurality,Twins,2010,5220,9220,56.6
Pre-term,Plurality,Other multiples,2010,216,222,97.3
Pre-term,Plurality,Not stated,2010,0,0,0
Term,Plurality,Singleton,2010,268987,290773,92.5
Term,Plurality,Twins,2010,3992,9220,43.3
Term,Plurality,Other multiples,2010,6,222,2.7
Term,Plurality,Not stated,2010,0,0,0
Post-term,Plurality,Singleton,2010,2354,290773,0.8
Post-term,Plurality,Twins,2010,6,9220,0.1
Post-term,Plurality,Other multiples,2010,0,222,0
Post-term,Plurality,Not stated,2010,0,0,0
Not stated,Plurality,Singleton,2010,62,290773,0
Not stated,Plurality,Twins,2010,2,9220,0
Not stated,Plurality,Other multiples,2010,0,222,0
Not stated,Plurality,Not stated,2010,0,0,0
Pre-term,Sex,Male,2010,13273,153550,8.6
Pre-term,Sex,Female,2010,11455,146461,7.8
Pre-term,Sex,Indeterminate/Not stated,2010,78,204,38.2
Term,Sex,Male,2010,138999,153550,90.5
Term,Sex,Female,2010,133861,146461,91.4
Term,Sex,Indeterminate/Not stated,2010,125,204,61.3
Post-term,Sex,Male,2010,1235,153550,0.8
Post-term,Sex,Female,2010,1125,146461,0.8
Post-term,Sex,Indeterminate/Not stated,2010,0,204,0
Not stated,Sex,Male,2010,43,153550,0
Not stated,Sex,Female,2010,20,146461,0
Not stated,Sex,Indeterminate/Not stated,2010,1,204,0.5
Pre-term,Smoking status (any time during pregnancy),Smoked,2010,4692,40455,11.6
Pre-term,Smoking status (any time during pregnancy),Did not smoke,2010,19624,255778,7.7
Pre-term,Smoking status (any time during pregnancy),Not stated,2010,490,3982,12.3
Term,Smoking status (any time during pregnancy),Smoked,2010,35500,40455,87.8
Term,Smoking status (any time during pregnancy),Did not smoke,2010,234033,255778,91.5
Term,Smoking status (any time during pregnancy),Not stated,2010,3452,3982,86.7
Post-term,Smoking status (any time during pregnancy),Smoked,2010,256,40455,0.6
Post-term,Smoking status (any time during pregnancy),Did not smoke,2010,2078,255778,0.8
Post-term,Smoking status (any time during pregnancy),Not stated,2010,26,3982,0.7
Not stated,Smoking status (any time during pregnancy),Smoked,2010,7,40455,0
Not stated,Smoking status (any time during pregnancy),Did not smoke,2010,43,255778,0
Not stated,Smoking status (any time during pregnancy),Not stated,2010,14,3982,0.4
Pre-term,State and territory of birth,NSW,2010,7100,96486,7.4
Pre-term,State and territory of birth,Vic,2010,6282,74472,8.4
Pre-term,State and territory of birth,Qld,2010,5369,62025,8.7
Pre-term,State and territory of birth,WA,2010,2711,31265,8.7
Pre-term,State and territory of birth,SA,2010,1772,20001,8.9
Pre-term,State and territory of birth,Tas,2010,626,6137,10.2
Pre-term,State and territory of birth,ACT,2010,534,5946,9
Pre-term,State and territory of birth,NT,2010,412,3883,10.6
Term,State and territory of birth,NSW,2010,88649,96486,91.9
Term,State and territory of birth,Vic,2010,67246,74472,90.3
Term,State and territory of birth,Qld,2010,56294,62025,90.8
Term,State and territory of birth,WA,2010,28380,31265,90.8
Term,State and territory of birth,SA,2010,18175,20001,90.9
Term,State and territory of birth,Tas,2010,5480,6137,89.3
Term,State and territory of birth,ACT,2010,5319,5946,89.5
Term,State and territory of birth,NT,2010,3442,3883,88.6
Post-term,State and territory of birth,NSW,2010,733,96486,0.8
Post-term,State and territory of birth,Vic,2010,890,74472,1.2
